,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
surprise,1.00 ,1.00 ,0.00 ,0.00 ,0.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 
fear,1.00 ,0.57 ,0.00 ,1.00 ,0.63 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.33 
disgust,0.00 ,0.00 ,0.00 ,0.31 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.26 ,0.00 ,0.00 
happiness,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
sadness,0.60 ,0.00 ,0.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
anger,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.29 ,1.00 ,0.00 ,0.00 
happiness_surprise,1.00 ,1.00 ,0.00 ,0.00 ,0.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.67 
 happiness_disgust,0.00 ,0.00 ,0.00 ,0.32 ,0.00 ,0.61 ,0.00 ,0.00 ,0.59 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
sadness_fear,1.00 ,0.46 ,0.00 ,1.00 ,0.24 ,0.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
 sadness_anger,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.26 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
 sadness_surprise,1.00 ,0.27 ,0.00 ,1.00 ,0.00 ,0.31 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 
 sadness_disgust,0.49 ,0.00 ,0.00 ,1.00 ,0.00 ,0.61 ,0.00 ,0.00 ,0.20 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.54 ,0.00 ,0.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.43 ,0.00 
fear_anger,0.00 ,0.00 ,0.00 ,1.00 ,0.40 ,0.00 ,0.39 ,0.00 ,0.00 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
 fear_surprise,1.00 ,1.00 ,0.00 ,0.47 ,1.00 ,0.00 ,0.00 ,0.00 ,0.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.51 
anger_surprise,0.00 ,0.00 ,0.00 ,1.00 ,0.35 ,0.00 ,0.50 ,0.00 ,0.00 ,0.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 
 anger_disgust,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.60 ,0.00 ,0.57 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.36 ,0.00 ,0.00 
disgust_surprise,1.00 ,1.00 ,0.00 ,0.45 ,1.00 ,0.00 ,0.00 ,0.00 ,0.37 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.33 ,0.00 ,0.00 
