frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.43,0.44,1.56,0.35,1.10,2.64,0.49,1.00,0.27,1.65,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.033,0.98,1,0.39,0.72,1.21,0.28,1.09,2.52,-0.02,1.67,0.80,2.26,0.73,1.04,-0.06,1.13,-0.29,-0.06,0.33,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.067,0.98,1,0.42,0.39,1.65,0.44,0.69,2.47,-0.05,1.55,0.25,1.89,0.47,1.00,0.14,0.79,0.63,0.86,0.58,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0,0.100,0.98,1,0.31,0.33,1.77,0.74,0.81,3.03,0.57,1.53,0.02,1.46,0.20,0.99,-0.09,0.31,2.80,3.05,0.59,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,0,0.133,0.98,1,0.24,0.47,1.79,0.50,1.16,3.04,1.01,1.71,0.41,1.54,0.10,0.30,0.47,-0.13,2.98,2.15,0.73,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,0,0.167,0.98,1,0.06,0.45,1.53,0.09,1.16,2.65,0.72,2.13,0.67,1.81,-0.06,0.28,0.43,0.12,2.54,1.94,0.62,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,0,0.200,0.98,1,0.06,0.34,1.71,0.44,1.31,2.81,0.62,2.38,0.69,2.02,-0.08,0.37,0.70,0.83,0.71,0.87,0.26,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.234,0.98,1,0.07,0.27,1.77,0.49,1.39,2.92,0.78,2.49,0.67,2.09,-0.20,0.23,0.62,0.90,0.22,0.46,0.12,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.267,0.98,1,0.22,0.38,1.74,0.60,1.43,2.83,0.61,2.35,0.64,1.79,-0.08,0.20,0.44,0.70,0.53,0.71,0.08,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.300,0.98,1,0.41,0.33,1.78,0.83,1.41,3.04,0.59,2.27,0.57,1.74,-0.11,0.07,0.21,0.61,0.81,0.83,0.09,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0.334,0.98,1,0.54,0.28,1.80,0.49,1.38,2.94,0.49,2.40,0.58,1.64,0.12,0.10,0.10,0.55,1.05,0.59,0.21,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0.367,0.98,1,1.61,0.82,1.21,0.16,1.28,2.44,0.19,2.34,0.70,1.63,-0.07,0.26,0.07,0.37,1.27,1.12,0.59,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,0,0.400,0.98,1,2.02,0.96,1.23,0.16,1.26,2.52,0.05,2.42,0.77,1.68,0.05,0.46,0.11,0.22,0.97,1.02,0.86,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0.434,0.98,1,4.59,2.14,0.03,1.45,-0.11,1.00,-1.71,1.16,0.30,-0.53,-0.14,0.49,-0.17,-0.01,1.72,1.78,2.70,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
15,0,0.467,0.98,1,4.94,2.43,-0.10,1.37,-0.13,1.43,-1.66,1.07,0.30,-0.72,-0.11,0.53,0.24,0.02,0.93,1.67,2.70,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
16,0,0.501,0.98,1,5.12,2.13,0.10,1.26,-0.15,1.54,-1.83,0.25,0.03,-0.41,0.62,1.14,0.69,1.22,-1.39,0.11,2.37,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
