frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.43,0.44,-0.26,0.35,-0.44,1.69,0.49,-0.87,0.30,0.59,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.042,0.98,1,0.64,1.13,-0.15,0.63,-0.56,1.81,0.30,-0.60,0.16,1.75,0.81,-0.22,1.89,0.73,0.44,-0.32,0.65,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3,0,0.083,0.98,1,0.39,0.18,-0.45,0.34,-0.41,2.03,-0.15,-0.14,0.41,1.08,-0.14,0.81,0.84,0.67,1.15,1.19,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
4,0,0.125,0.88,1,-0.03,0.49,-0.47,-1.04,0.07,1.37,-0.55,0.53,0.64,0.49,-0.77,1.00,0.99,0.68,1.64,3.58,0.80,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
5,0,0.167,0.98,1,-0.09,0.36,-0.26,-0.45,0.33,2.62,0.41,1.13,0.57,0.58,0.54,0.93,0.42,0.29,0.70,0.46,1.00,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,0,0.209,0.98,1,0.06,1.22,-0.91,0.16,0.64,1.10,0.28,1.22,0.37,2.41,0.88,0.55,1.66,0.93,-0.13,0.32,0.89,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,0,0.250,0.98,1,0.48,0.52,-0.76,0.21,0.47,1.85,-0.23,0.21,0.80,1.22,0.81,1.56,0.19,1.41,0.61,0.74,0.39,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0,0.292,0.98,1,1.30,2.66,-0.51,-0.27,0.60,1.62,0.20,1.14,0.88,1.83,0.76,1.75,-0.07,0.91,1.17,1.09,0.56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
9,0,0.334,0.98,1,0.78,1.56,-0.32,0.58,1.53,1.92,0.19,1.74,1.71,2.09,0.16,1.79,0.55,0.45,0.53,0.64,1.59,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,0.375,0.98,1,0.59,-0.43,-0.47,0.45,1.41,3.73,0.86,1.98,1.16,1.87,1.27,0.94,1.57,0.65,0.20,-1.11,-0.01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11,0,0.417,0.98,1,0.30,0.07,-0.15,0.88,1.68,2.61,0.51,2.17,1.35,2.01,1.42,1.65,1.20,0.83,0.45,-0.94,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0,0.459,0.98,1,0.63,0.08,0.35,0.78,1.66,2.60,0.11,1.71,1.49,1.77,1.36,1.48,0.58,0.63,-0.05,-0.31,0.56,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0.500,0.98,1,0.65,-0.40,0.17,-0.45,1.67,2.65,0.46,1.40,1.18,1.31,0.60,1.69,0.72,0.73,-0.35,-0.43,1.01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,0,0.542,0.88,1,-0.41,-1.81,0.15,2.03,0.66,-0.15,-0.18,1.00,1.12,0.39,-2.06,4.20,0.56,2.09,0.38,1.48,0.55,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0,0.584,0.98,1,0.70,0.65,0.22,1.40,0.61,2.11,-0.14,0.50,1.16,0.89,0.33,2.30,0.04,1.46,1.35,1.62,-0.16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
16,0,0.626,0.98,1,1.53,0.16,-0.12,1.28,0.93,1.90,-0.09,0.88,1.19,0.33,0.36,2.20,0.93,1.10,0.47,0.47,-0.22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
17,0,0.667,0.98,1,0.96,-0.68,-0.71,0.45,1.22,2.98,0.74,0.48,0.88,0.08,0.28,0.52,0.85,1.41,0.69,0.23,-0.27,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
18,0,0.709,0.98,1,1.12,-0.70,-0.67,1.18,1.51,3.77,1.65,1.88,0.86,0.81,0.73,1.64,1.16,0.55,0.85,0.36,-0.32,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
19,0,0.751,0.98,1,0.79,0.25,-0.53,0.95,1.02,4.41,1.20,2.61,1.03,1.19,1.59,2.14,2.03,0.40,1.57,0.02,-0.13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
20,0,0.792,0.98,1,0.82,1.18,-0.58,0.76,1.58,4.85,1.12,3.24,1.64,0.72,0.82,2.25,1.24,0.48,1.85,0.63,0.66,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
21,0,0.834,0.98,1,0.45,0.83,-0.95,0.44,1.67,4.44,1.14,3.20,1.47,0.47,0.74,1.72,1.28,0.17,1.91,0.27,0.73,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
22,0,0.876,0.88,1,0.94,1.50,-0.47,0.73,2.08,4.03,1.40,2.25,1.32,1.03,0.77,1.69,1.23,0.13,1.69,0.44,0.21,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
23,0,0.918,0.98,1,1.26,2.21,-0.09,1.04,1.86,4.23,1.05,1.97,1.46,0.92,0.21,0.99,0.79,0.51,1.12,0.44,0.41,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24,0,0.959,0.82,1,3.16,3.06,-0.08,1.20,0.21,1.81,0.50,1.03,0.49,-0.31,0.64,2.10,0.71,1.57,0.50,0.07,0.16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,0,1.001,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,1.043,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,1.084,0.38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,1.126,0.12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
