frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.82,1,0.43,0.44,0.39,0.35,-0.21,-1.02,0.49,-0.06,0.98,-0.66,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.033,0.88,1,0.72,0.60,0.72,0.63,-0.16,-0.68,0.42,-0.06,1.10,-0.72,0.05,0.09,-0.04,0.73,0.79,0.10,0.60,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.067,0.88,1,0.68,0.68,1.11,0.74,0.03,-0.52,0.44,-0.26,1.21,-0.55,-0.03,0.26,0.00,0.82,0.45,0.61,0.41,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.100,0.88,1,0.62,0.65,1.42,0.76,0.41,-0.46,0.26,-0.42,1.07,-0.39,0.12,0.19,0.40,0.80,0.48,0.89,0.85,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0,0.133,0.88,1,0.63,0.66,1.88,0.64,0.51,-0.74,0.28,-0.42,1.18,-0.57,0.37,0.33,0.53,0.55,0.51,0.27,1.28,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.167,0.88,1,0.58,0.70,2.09,0.87,0.72,-0.61,0.08,-0.26,1.14,-0.48,0.42,0.45,0.63,0.62,0.64,-0.26,2.00,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.200,0.88,1,0.48,0.40,2.18,1.25,0.80,-0.78,0.23,-0.49,0.93,-0.27,0.40,0.51,0.83,0.74,0.41,0.20,1.53,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.234,0.88,1,0.39,0.30,2.37,1.06,0.77,-0.84,0.64,-0.39,1.03,-0.70,0.02,0.99,0.61,0.76,0.60,0.05,1.12,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.267,0.77,1,0.48,0.52,2.72,0.69,0.84,-0.60,0.55,-0.16,0.85,-0.39,-0.04,0.65,0.41,0.55,1.19,0.48,1.04,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.300,0.73,0,0.19,0.14,2.63,0.67,0.95,-0.39,0.39,0.42,0.93,-0.47,0.66,1.38,-0.23,0.96,1.81,1.08,1.02,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0,0.334,0.82,1,0.70,0.57,2.40,0.70,0.88,-0.89,-0.02,0.21,0.74,0.02,0.36,1.09,-0.70,0.94,2.49,1.39,1.40,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
12,0,0.367,0.82,1,0.62,-0.13,1.68,0.08,0.84,-0.23,-0.35,-0.42,0.59,-0.00,0.08,1.26,-0.91,0.95,2.28,1.52,1.42,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
